Table 1
Objectid,Title,Format,Filename,Date,Subject,Location,latitude,Longitude,Description
item 1,Postcard Niagara Falls,image/JPEG,Burtniak postcards niagara falls special collection.jpg, 1901-1911,Niagara Falls; Postcard,Niagara Falls,43.0837,-79.07314,A postcard showing the Falls
item 2,Niagara Falls History,application/pdf,Niagara Falls History.pdf,1805,Niagara Falls; History; Article,Niagara Falls,43.0837,-79.07314,A brief article on the history of Niagara Falls up until 1805
item 3,Sketch of Map Of the Falls,image/JPEG,Map Of Niagara Falls.jpg,1814,Sketch; map; Niagara Falls,The Falls,43.07837,-79.07512,A map showing the falls outline
item 4,Men at Falls,image/JPEG,Men at Falls.jpg,1860-1870,Men; Standing; Niagara Falls,Niagara Falls,43.07837,-79.07512,Men standing at base of the Falls 
item 5,Postcard of frozen falls,image/JPEG,Card of Frozen Falls.jpg,1854-1904,Postcard; Niagara Falls; Frozen,Niagara Falls,43.07837,-79.07512,The Great Falls Frozen with people surrounding it 
item 6,Postcard of whirlpool and river,image/JPEG,Card Of Whirlpool and River.jpg,1854-1904,Postcard; Niagara Falls; Whirlpool,Niagara Falls,43.07837,-79.07512,Man watching Whirlpool and River
item 7,Niagara Falls article,image/JPEG,Niagara Falls article.jpg,1853,Article; Niagara Falls,Niagara Falls,43.0837,-79.07314,Article about Niagara Falls
item 8,Niagara Falls article,image/JPEG,Niagara Falls article.jpg,1853,Article; Niagara Falls,Niagara Falls,43.0837,-79.07314,Article about Niagara Falls 2
item 9,Niagara Falls article,image/JPEG,Niagara Falls article.jpg,1853,Article; Niagara Falls,Niagara Falls,43.0837,-79.07314,Article about Niagara Falls 3
item 10,Terrapin Tower over Horse Shoe Falls,image/JPEG,Horse Shoe Falls.jpg,1861,Niagara Falls; Horse Shoe Falls; Terrapin Tower,Horse Shoe Falls,43.07837,-79.07512,Terrapin Tower over Horse Shoe Falls
item 11,Man at Base of Niagara Falls,image/JPEG,Man at base.jpg,1860-1870,Man; Base; Niagara Falls,Niagara Falls,43.07837,-79.07512,Man standing at base of Niagara Falls
item 12,Henry Bellini Tightrope,image/JPEG,Henry Bellini.jpg,1873,Man; Tightrope; Niagara Falls,Niagara Falls,43.07837,-79.07512,Henry Bellini preparing to cross the Falls on tightrope
item 13,Niagara Falls Ruined,application/pdf,Niagara Falls Ruined.pdf,1906,Article; Niagara Falls; Ruined,Niagara Falls,43.0837,-79.07314,Article describing how Niagara Falls is already ruined 
